id,name,first_name,middle_name,last_name,cpf,email,phone,gender,birth_date,mother_name,race_color,has_disability,birth_city_name,birth_state,nationality/id,work_regime,workload,degree_level,degree_area,degree_ies,orcid,lattes_url,street,city,zip
fac_mptrcs_01,Pedro Silva Guedes,Pedro,Silva,Guedes,93437343793,pedro.guedes_81@ipen.br,(11) 99863-2349,male,1966-04-12,Sônia Cristina Guedes,black,False,Porto Alegre,RS,base.br,exclusive,40,phd,Tecnologia Nuclear e Radiológica,Universidade de São Paulo - USP,0000-0001-9000-0001,http://lattes.cnpq.br/934373437930001,"Av. Faria Lima, 627",Porto Alegre,03511-649
fac_mptrcs_02,Laura Alves Marcondes,Laura,Alves,Marcondes,76691087623,laura.marcondes_82@ipen.br,(11) 99886-2378,female,1967-04-12,Lúcia Célia Marcondes,yellow,False,Salvador,BA,base.br,exclusive,40,phd,Tecnologia Nuclear e Radiológica,Universidade de São Paulo - USP,0000-0001-9000-0002,http://lattes.cnpq.br/766910876230001,"Rua Bela Cintra, 644",Salvador,03542-668
fac_mptrcs_03,Renato Dias Neves,Renato,Dias,Neves,73172649970,renato.neves_83@ipen.br,(11) 98009-2407,male,1968-04-12,Sandra Beatriz Neves,indigenous,False,Recife,PE,base.br,fulltime,40,phd,Tecnologia Nuclear e Radiológica,Universidade de São Paulo - USP,0000-0001-9000-0003,http://lattes.cnpq.br/731726499700001,"Av. Brigadeiro Luís Antônio, 661",Recife,03573-687
fac_mptrcs_04,Luana Lopes Porto,Luana,Lopes,Porto,90447230069,luana.porto_84@ipen.br,(11) 98032-2436,female,1969-04-12,Maria das Graças Porto,white,False,São Paulo,SP,base.br,exclusive,40,phd,Tecnologia Nuclear e Radiológica,Universidade de São Paulo - USP,0000-0001-9000-0004,http://lattes.cnpq.br/904472300690001,"Av. Lineu Prestes, 678",São Paulo,03604-706
fac_mptrcs_05,Samuel Moraes Serra,Samuel,Moraes,Serra,76704206264,samuel.serra_85@ipen.br,(11) 98055-2465,male,1970-04-12,Sônia Aparecida Serra,white,False,Campinas,SP,base.br,exclusive,40,phd,Tecnologia Nuclear e Radiológica,Universidade de São Paulo - USP,0000-0001-9000-0005,http://lattes.cnpq.br/767042062640001,"Av. Paulista, 695",Campinas,03635-725
fac_mptrcs_06,Manuela Ramos Wanderley,Manuela,Ramos,Wanderley,52217477749,manuela.wanderley_86@ipen.br,(11) 98078-2494,female,1971-04-12,Lúcia Helena Wanderley,brown,False,Ribeirão Preto,SP,base.br,fulltime,40,phd,Tecnologia Nuclear e Radiológica,Universidade de São Paulo - USP,0000-0001-9000-0006,http://lattes.cnpq.br/522174777490001,"Rua da Consolação, 712",Ribeirão Preto,03666-744
fac_mptrcs_07,Tiago Silveira Camargo,Tiago,Silveira,Camargo,74562832061,tiago.camargo_87@ipen.br,(11) 98101-2523,male,1972-04-12,Sandra do Carmo Camargo,brown,False,São José dos Campos,SP,base.br,exclusive,40,phd,Tecnologia Nuclear e Radiológica,Universidade de São Paulo - USP,0000-0001-9000-0007,http://lattes.cnpq.br/745628320610001,"Rua Augusta, 729",São José dos Campos,03697-763
fac_mptrcs_08,Natália Barbosa Fragoso,Natália,Barbosa,Fragoso,86157935812,natália.fragoso_88@ipen.br,(11) 98124-2552,female,1973-04-12,Maria de Lourdes Fragoso,black,False,Santos,SP,base.br,exclusive,40,phd,Tecnologia Nuclear e Radiológica,Universidade de São Paulo - USP,0000-0001-9000-0008,http://lattes.cnpq.br/861579358120001,"Rua Vergueiro, 746",Santos,03728-782
fac_mptrcs_09,Vinícius Duarte Maia,Vinícius,Duarte,Maia,24274626326,vinícius.maia_89@ipen.br,(11) 98147-2581,male,1974-04-12,Sônia Cristina Maia,yellow,False,Sorocaba,SP,base.br,fulltime,40,phd,Tecnologia Nuclear e Radiológica,Universidade de São Paulo - USP,0000-0001-9000-0009,http://lattes.cnpq.br/242746263260001,"Av. Rebouças, 763",Sorocaba,03759-801
fac_mptrcs_10,Rachel Macedo Muniz,Rachel,Macedo,Muniz,85601417822,rachel.muniz_90@ipen.br,(11) 98170-2610,female,1975-04-12,Lúcia Célia Muniz,indigenous,False,Belo Horizonte,MG,base.br,exclusive,40,phd,Tecnologia Nuclear e Radiológica,Universidade de São Paulo - USP,0000-0001-9000-0010,http://lattes.cnpq.br/856014178220001,"Rua Domingos de Morais, 780",Belo Horizonte,03790-820
fac_mptrcs_11,Eduardo Moreira Pontes,Eduardo,Moreira,Pontes,50807108103,eduardo.pontes_91@ipen.br,(11) 98193-2639,male,1976-04-12,Sandra Beatriz Pontes,white,False,Curitiba,PR,base.br,exclusive,40,phd,Tecnologia Nuclear e Radiológica,Universidade de São Paulo - USP,0000-0001-9000-0011,http://lattes.cnpq.br/508071081030001,"Av. Angélica, 797",Curitiba,03821-839
fac_mptrcs_12,Roberta Ribeiro Sardenberg,Roberta,Ribeiro,Sardenberg,39149371223,roberta.sardenberg_92@ipen.br,(11) 98216-2668,female,1977-04-12,Maria das Graças Sardenberg,white,False,Rio de Janeiro,RJ,base.br,fulltime,40,phd,Tecnologia Nuclear e Radiológica,Universidade de São Paulo - USP,0000-0001-9000-0012,http://lattes.cnpq.br/391493712230001,"Rua Teodoro Sampaio, 814",Rio de Janeiro,03852-858
