id,name,first_name,middle_name,last_name,cpf,email,phone,ra_number,gr_no,company_id/id,student_category,capes_status,gender,birth_date,admission_date,mother_name,race_color,has_disability,birth_city_name,birth_state,nationality/id,highest_degree,academic_level,orcid,lattes_url,street,city,zip,advisor_id/id,coadvisor_id/id,english_proficiency_status,portuguese_proficiency_status
stu_mptrcs_t1_01,Maurício Martins Valenca,Maurício,Martins,Valenca,71766306233,maurício.valenca_301@ipen.br,(11) 99223-8729,RA2022001,RA2022001,comp_ies_ipen,alumni,graduated,m,1992-07-22,2022-03-01,Sônia Aparecida Valenca,white,False,Campinas,SP,base.br,bachelor,grad,0000-0002-4001-0013,http://lattes.cnpq.br/717663062330002,"Av. Paulista, 117",Campinas,01431-379,fac_mptrcs_01,,approved,not_applicable
stu_mptrcs_t1_02,Bruna Nascimento Barreto,Bruna,Nascimento,Barreto,88797724149,bruna.barreto_302@ipen.br,(11) 99246-8758,RA2022002,RA2022002,comp_ies_ipen,alumni,graduated,f,1993-07-22,2022-03-01,Lúcia Helena Barreto,white,False,Ribeirão Preto,SP,base.br,bachelor,grad,0000-0002-4002-0026,http://lattes.cnpq.br/887977241490002,"Rua da Consolação, 134",Ribeirão Preto,01462-398,fac_mptrcs_02,,approved,not_applicable
stu_mptrcs_t1_03,Nelson Rocha Drummond,Nelson,Rocha,Drummond,57410630477,nelson.drummond_303@ipen.br,(11) 99269-8787,RA2022003,RA2022003,comp_ies_ipen,alumni,graduated,m,1994-07-22,2022-03-01,Sandra do Carmo Drummond,brown,False,São José dos Campos,SP,base.br,bachelor,grad,0000-0002-4003-0039,http://lattes.cnpq.br/574106304770002,"Rua Augusta, 151",São José dos Campos,01493-417,fac_mptrcs_03,,approved,not_applicable
stu_mptrcs_t1_04,Carolina Sousa Lemos,Carolina,Sousa,Lemos,06676394626,carolina.lemos_304@ipen.br,(11) 99292-8816,RA2022004,RA2022004,comp_ies_ipen,alumni,graduated,f,1995-07-22,2022-03-01,Maria de Lourdes Lemos,brown,False,Santos,SP,base.br,bachelor,grad,0000-0002-4004-0052,http://lattes.cnpq.br/066763946260002,"Rua Vergueiro, 168",Santos,01524-436,fac_mptrcs_04,fac_mptrcs_08,approved,not_applicable
stu_mptrcs_t1_05,Paulo Carvalho Mello,Paulo,Carvalho,Mello,64349958657,paulo.mello_305@ipen.br,(11) 99315-8845,RA2022005,RA2022005,comp_ies_ipen,alumni,graduated,m,1996-07-22,2022-03-01,Sônia Cristina Mello,black,False,Sorocaba,SP,base.br,bachelor,grad,0000-0002-4005-0065,http://lattes.cnpq.br/643499586570002,"Av. Rebouças, 185",Sorocaba,01555-455,fac_mptrcs_05,,approved,not_applicable
stu_mptrcs_t1_06,Cláudia Ferreira Padilha,Cláudia,Ferreira,Padilha,11453042652,cláudia.padilha_306@ipen.br,(11) 99338-8874,RA2022006,RA2022006,comp_ies_ipen,alumni,graduated,f,1997-07-22,2022-03-01,Lúcia Célia Padilha,yellow,False,Belo Horizonte,MG,base.br,bachelor,grad,0000-0002-4006-0078,http://lattes.cnpq.br/114530426520002,"Rua Domingos de Morais, 202",Belo Horizonte,01586-474,fac_mptrcs_06,,approved,not_applicable
stu_mptrcs_t1_07,Rafael Melo Ribas,Rafael,Melo,Ribas,54267827508,rafael.ribas_307@ipen.br,(11) 99361-8903,RA2022007,RA2022007,comp_ies_ipen,alumni,graduated,m,1998-07-22,2022-03-01,Sandra Beatriz Ribas,indigenous,False,Curitiba,PR,base.br,bachelor,grad,0000-0002-4007-0091,http://lattes.cnpq.br/542678275080002,"Av. Angélica, 219",Curitiba,01617-493,fac_mptrcs_07,,approved,not_applicable
stu_mptrcs_t1_08,Daniela Nogueira Torres,Daniela,Nogueira,Torres,19758381300,daniela.torres_308@ipen.br,(11) 99384-8932,RA2022008,RA2022008,comp_ies_ipen,alumni,graduated,f,1999-07-22,2022-03-01,Maria das Graças Torres,white,False,Rio de Janeiro,RJ,base.br,bachelor,grad,0000-0002-4008-0104,http://lattes.cnpq.br/197583813000002,"Rua Teodoro Sampaio, 236",Rio de Janeiro,01648-512,fac_mptrcs_08,fac_mptrcs_12,approved,not_applicable
stu_mptrcs_t1_09,Ricardo Rodrigues Andrade,Ricardo,Rodrigues,Andrade,45476444033,ricardo.andrade_309@ipen.br,(11) 99407-8961,RA2022009,RA2022009,comp_ies_ipen,alumni,graduated,m,1991-07-22,2022-03-01,Sônia Aparecida Andrade,white,False,Porto Alegre,RS,base.br,bachelor,grad,0000-0002-4009-0117,http://lattes.cnpq.br/454764440330002,"Av. Faria Lima, 253",Porto Alegre,01679-531,fac_mptrcs_09,,approved,not_applicable
stu_mptrcs_t1_10,Eduarda Souza Dantas,Eduarda,Souza,Dantas,60895548046,eduarda.dantas_310@ipen.br,(11) 99430-8990,RA2022010,RA2022010,comp_ies_ipen,alumni,graduated,f,1992-07-22,2022-03-01,Lúcia Helena Dantas,brown,False,Salvador,BA,base.br,bachelor,grad,0000-0002-4010-0130,http://lattes.cnpq.br/608955480460002,"Rua Bela Cintra, 270",Salvador,01710-550,fac_mptrcs_10,,approved,not_applicable
