id,name,student_id/id,research_line_id/id,research_line,summary,methodology,attachment_pdf,opinion_category,state
wp_stu_mptrcs_t1_01,Plano de Investigação e Desenvolvimento Tecnológico: Maurício Martins Valenca,stu_mptrcs_t1_01,line_rad_dos_01,Linha line_rad_dos_01,Desenvolvimento de tecnologia radiológica no âmbito do MPTRCS. Investigação discente Maurício Martins Valenca.,Ensaios laboratoriais e dosimétricos com feixes clínicos e modelagem computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBNUFRSQ1M=,approved,homologated
wp_stu_mptrcs_t1_02,Plano de Investigação e Desenvolvimento Tecnológico: Bruna Nascimento Barreto,stu_mptrcs_t1_02,line_rad_dos_02,Linha line_rad_dos_02,Desenvolvimento de tecnologia radiológica no âmbito do MPTRCS. Investigação discente Bruna Nascimento Barreto.,Ensaios laboratoriais e dosimétricos com feixes clínicos e modelagem computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBNUFRSQ1M=,approved,homologated
wp_stu_mptrcs_t1_03,Plano de Investigação e Desenvolvimento Tecnológico: Nelson Rocha Drummond,stu_mptrcs_t1_03,line_rad_nuc_01,Linha line_rad_nuc_01,Desenvolvimento de tecnologia radiológica no âmbito do MPTRCS. Investigação discente Nelson Rocha Drummond.,Ensaios laboratoriais e dosimétricos com feixes clínicos e modelagem computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBNUFRSQ1M=,approved,homologated
wp_stu_mptrcs_t1_04,Plano de Investigação e Desenvolvimento Tecnológico: Carolina Sousa Lemos,stu_mptrcs_t1_04,line_rad_nuc_02,Linha line_rad_nuc_02,Desenvolvimento de tecnologia radiológica no âmbito do MPTRCS. Investigação discente Carolina Sousa Lemos.,Ensaios laboratoriais e dosimétricos com feixes clínicos e modelagem computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBNUFRSQ1M=,approved,homologated
wp_stu_mptrcs_t1_05,Plano de Investigação e Desenvolvimento Tecnológico: Paulo Carvalho Mello,stu_mptrcs_t1_05,line_rad_dos_01,Linha line_rad_dos_01,Desenvolvimento de tecnologia radiológica no âmbito do MPTRCS. Investigação discente Paulo Carvalho Mello.,Ensaios laboratoriais e dosimétricos com feixes clínicos e modelagem computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBNUFRSQ1M=,approved,homologated
wp_stu_mptrcs_t1_06,Plano de Investigação e Desenvolvimento Tecnológico: Cláudia Ferreira Padilha,stu_mptrcs_t1_06,line_rad_dos_02,Linha line_rad_dos_02,Desenvolvimento de tecnologia radiológica no âmbito do MPTRCS. Investigação discente Cláudia Ferreira Padilha.,Ensaios laboratoriais e dosimétricos com feixes clínicos e modelagem computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBNUFRSQ1M=,approved,homologated
wp_stu_mptrcs_t1_07,Plano de Investigação e Desenvolvimento Tecnológico: Rafael Melo Ribas,stu_mptrcs_t1_07,line_rad_nuc_01,Linha line_rad_nuc_01,Desenvolvimento de tecnologia radiológica no âmbito do MPTRCS. Investigação discente Rafael Melo Ribas.,Ensaios laboratoriais e dosimétricos com feixes clínicos e modelagem computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBNUFRSQ1M=,approved,homologated
wp_stu_mptrcs_t1_08,Plano de Investigação e Desenvolvimento Tecnológico: Daniela Nogueira Torres,stu_mptrcs_t1_08,line_rad_nuc_02,Linha line_rad_nuc_02,Desenvolvimento de tecnologia radiológica no âmbito do MPTRCS. Investigação discente Daniela Nogueira Torres.,Ensaios laboratoriais e dosimétricos com feixes clínicos e modelagem computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBNUFRSQ1M=,approved,homologated
wp_stu_mptrcs_t1_09,Plano de Investigação e Desenvolvimento Tecnológico: Ricardo Rodrigues Andrade,stu_mptrcs_t1_09,line_rad_dos_01,Linha line_rad_dos_01,Desenvolvimento de tecnologia radiológica no âmbito do MPTRCS. Investigação discente Ricardo Rodrigues Andrade.,Ensaios laboratoriais e dosimétricos com feixes clínicos e modelagem computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBNUFRSQ1M=,approved,homologated
wp_stu_mptrcs_t1_10,Plano de Investigação e Desenvolvimento Tecnológico: Eduarda Souza Dantas,stu_mptrcs_t1_10,line_rad_dos_02,Linha line_rad_dos_02,Desenvolvimento de tecnologia radiológica no âmbito do MPTRCS. Investigação discente Eduarda Souza Dantas.,Ensaios laboratoriais e dosimétricos com feixes clínicos e modelagem computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBNUFRSQ1M=,approved,homologated
