id,student_id/id,work_plan_id/id,title,doc_type,stage,status,defense_date,repository_url
thesis_stu_mptrcs_t1_01,stu_mptrcs_t1_01,wp_stu_mptrcs_t1_01,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Valenca,dissertation,defense,homologated,2024-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/1
thesis_stu_mptrcs_t1_02,stu_mptrcs_t1_02,wp_stu_mptrcs_t1_02,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Barreto,dissertation,defense,homologated,2024-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/2
thesis_stu_mptrcs_t1_03,stu_mptrcs_t1_03,wp_stu_mptrcs_t1_03,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Drummond,dissertation,defense,homologated,2024-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/3
thesis_stu_mptrcs_t1_04,stu_mptrcs_t1_04,wp_stu_mptrcs_t1_04,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Lemos,dissertation,defense,homologated,2024-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/4
thesis_stu_mptrcs_t1_05,stu_mptrcs_t1_05,wp_stu_mptrcs_t1_05,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Mello,dissertation,defense,homologated,2024-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/5
thesis_stu_mptrcs_t1_06,stu_mptrcs_t1_06,wp_stu_mptrcs_t1_06,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Padilha,dissertation,defense,homologated,2024-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/6
thesis_stu_mptrcs_t1_07,stu_mptrcs_t1_07,wp_stu_mptrcs_t1_07,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Ribas,dissertation,defense,homologated,2024-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/7
thesis_stu_mptrcs_t1_08,stu_mptrcs_t1_08,wp_stu_mptrcs_t1_08,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Torres,dissertation,defense,homologated,2024-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/8
thesis_stu_mptrcs_t1_09,stu_mptrcs_t1_09,wp_stu_mptrcs_t1_09,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Andrade,dissertation,defense,homologated,2024-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/9
thesis_stu_mptrcs_t1_10,stu_mptrcs_t1_10,wp_stu_mptrcs_t1_10,Otimização Dosimétrica e Inovação Tecnológica em Feixes Clínicos - Estudo Dantas,dissertation,defense,homologated,2024-04-15 14:00:00,http://repositorio.ipen.br/handle/123456789/10
