id,title,name,thesis_id/id,student_id/id,type_id/id,final_stratum,trl_level,adherence_justif,state
ptt_stu_mptrcs_t1_01,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Valenca),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Valenca),thesis_stu_mptrcs_t1_01,stu_mptrcs_t1_01,l10n_br_openeducat_capes_ptt.ptt_type_t09,T3,trl_7,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t1_02,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Barreto),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Barreto),thesis_stu_mptrcs_t1_02,stu_mptrcs_t1_02,l10n_br_openeducat_capes_ptt.ptt_type_t13,T2,trl_8,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t1_03,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Drummond),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Drummond),thesis_stu_mptrcs_t1_03,stu_mptrcs_t1_03,l10n_br_openeducat_capes_ptt.ptt_type_t19,T1,trl_9,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t1_04,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Lemos),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Lemos),thesis_stu_mptrcs_t1_04,stu_mptrcs_t1_04,l10n_br_openeducat_capes_ptt.ptt_type_t07,T2,trl_6,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t1_05,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Mello),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Mello),thesis_stu_mptrcs_t1_05,stu_mptrcs_t1_05,l10n_br_openeducat_capes_ptt.ptt_type_t09,T3,trl_7,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t1_06,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Padilha),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Padilha),thesis_stu_mptrcs_t1_06,stu_mptrcs_t1_06,l10n_br_openeducat_capes_ptt.ptt_type_t13,T1,trl_8,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t1_07,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Ribas),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Ribas),thesis_stu_mptrcs_t1_07,stu_mptrcs_t1_07,l10n_br_openeducat_capes_ptt.ptt_type_t19,T3,trl_9,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t1_08,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Torres),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Torres),thesis_stu_mptrcs_t1_08,stu_mptrcs_t1_08,l10n_br_openeducat_capes_ptt.ptt_type_t07,T2,trl_6,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t1_09,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Andrade),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Andrade),thesis_stu_mptrcs_t1_09,stu_mptrcs_t1_09,l10n_br_openeducat_capes_ptt.ptt_type_t09,T1,trl_7,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t1_10,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Dantas),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Dantas),thesis_stu_mptrcs_t1_10,stu_mptrcs_t1_10,l10n_br_openeducat_capes_ptt.ptt_type_t13,T2,trl_8,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t1_11,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Lacerda),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Lacerda),thesis_stu_mptrcs_t1_11,stu_mptrcs_t1_11,l10n_br_openeducat_capes_ptt.ptt_type_t19,T3,trl_9,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t1_12,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Mascarenhas),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Mascarenhas),thesis_stu_mptrcs_t1_12,stu_mptrcs_t1_12,l10n_br_openeducat_capes_ptt.ptt_type_t07,T1,trl_6,Aderente à Linha de Radioterapia e Dosimetria,homologated
ptt_stu_mptrcs_t1_13,Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Noronha),Inovação Tecnológica Aplicada MPTRCS: Software Dosimétrico (Noronha),thesis_stu_mptrcs_t1_13,stu_mptrcs_t1_13,l10n_br_openeducat_capes_ptt.ptt_type_t09,T3,trl_7,Aderente à Linha de Radioterapia e Dosimetria,homologated
