id,name,first_name,middle_name,last_name,cpf,email,phone,gender,birth_date,mother_name,race_color,has_disability,birth_city_name,birth_state,nationality/id,work_regime,workload,degree_level,degree_area,degree_ies,orcid,lattes_url,street,city,zip
fac_xyzq_01,André Soares Muniz,André,Soares,Muniz,38281173092,andré.muniz_11@xyzq.edu.br,(11) 98253-0319,male,1969-05-15,Sandra Beatriz Muniz,black,False,Recife,PE,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0001,http://lattes.cnpq.br/382811730920001,"Av. Brigadeiro Luís Antônio, 287",Recife,01341-209
fac_xyzq_02,Ana Cardoso Pontes,Ana,Cardoso,Pontes,11589990110,ana.pontes_12@xyzq.edu.br,(11) 98276-0348,female,1970-05-15,Maria das Graças Pontes,yellow,False,São Paulo,SP,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0002,http://lattes.cnpq.br/115899901100001,"Av. Lineu Prestes, 304",São Paulo,01372-228
fac_xyzq_03,Bruno Fernandes Sardenberg,Bruno,Fernandes,Sardenberg,48796785705,bruno.sardenberg_13@xyzq.edu.br,(11) 98299-0377,male,1971-05-15,Sônia Aparecida Sardenberg,indigenous,False,Campinas,SP,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0003,http://lattes.cnpq.br/487967857050001,"Av. Paulista, 321",Campinas,01403-247
fac_xyzq_04,Bruna Martins Vidal,Bruna,Martins,Vidal,23648837923,bruna.vidal_14@xyzq.edu.br,(11) 98322-0406,female,1972-05-15,Lúcia Helena Vidal,white,False,Ribeirão Preto,SP,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0004,http://lattes.cnpq.br/236488379230001,"Rua da Consolação, 338",Ribeirão Preto,01434-266
fac_xyzq_05,Daniel Nascimento Bueno,Daniel,Nascimento,Bueno,57061017520,daniel.bueno_15@xyzq.edu.br,(11) 98345-0435,male,1973-05-15,Sandra do Carmo Bueno,white,False,São José dos Campos,SP,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0005,http://lattes.cnpq.br/570610175200001,"Rua Augusta, 355",São José dos Campos,01465-285
fac_xyzq_06,Carolina Rocha Figueira,Carolina,Rocha,Figueira,92845601875,carolina.figueira_16@xyzq.edu.br,(11) 98368-0464,female,1974-05-15,Maria de Lourdes Figueira,brown,False,Santos,SP,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0006,http://lattes.cnpq.br/928456018750001,"Rua Vergueiro, 372",Santos,01496-304
fac_xyzq_07,Diego Sousa Loyola,Diego,Sousa,Loyola,95316502094,diego.loyola_17@xyzq.edu.br,(11) 98391-0493,male,1975-05-15,Sônia Cristina Loyola,brown,False,Sorocaba,SP,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0007,http://lattes.cnpq.br/953165020940001,"Av. Rebouças, 389",Sorocaba,01527-323
fac_xyzq_08,Cláudia Carvalho Montenegro,Cláudia,Carvalho,Montenegro,13480202616,cláudia.montenegro_18@xyzq.edu.br,(11) 98414-0522,female,1976-05-15,Lúcia Célia Montenegro,black,False,Belo Horizonte,MG,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0008,http://lattes.cnpq.br/134802026160001,"Rua Domingos de Morais, 406",Belo Horizonte,01558-342
fac_xyzq_09,Gustavo Ferreira Pimentel,Gustavo,Ferreira,Pimentel,38076988098,gustavo.pimentel_19@xyzq.edu.br,(11) 98437-0551,male,1977-05-15,Sandra Beatriz Pimentel,yellow,False,Curitiba,PR,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0009,http://lattes.cnpq.br/380769880980001,"Av. Angélica, 423",Curitiba,01589-361
fac_xyzq_10,Daniela Melo Salles,Daniela,Melo,Salles,79894910955,daniela.salles_20@xyzq.edu.br,(11) 98460-0580,female,1978-05-15,Maria das Graças Salles,indigenous,False,Rio de Janeiro,RJ,base.br,exclusive,40,phd,Ciência e Tecnologia,Universidade XYZQ,0000-0002-1825-0010,http://lattes.cnpq.br/798949109550001,"Rua Teodoro Sampaio, 440",Rio de Janeiro,01620-380
