id,name,first_name,middle_name,last_name,cpf,email,phone,ra_number,gr_no,company_id/id,student_category,capes_status,gender,birth_date,admission_date,mother_name,race_color,has_disability,birth_city_name,birth_state,nationality/id,highest_degree,academic_level,orcid,lattes_url,street,city,zip,advisor_id/id,coadvisor_id/id,english_proficiency_status,portuguese_proficiency_status
stu_ppgcc_01,André Ferreira Bittencourt,André,Ferreira,Bittencourt,85527451600,andré.bittencourt_101@aluno.xyzq.edu.br,(11) 98423-2929,RA20241001,RA20241001,comp_ies_xyzq,alumni,graduated,m,1994-08-14,2024-03-01,Sônia Aparecida Bittencourt,brown,False,Sorocaba,SP,base.br,bachelor,grad,0000-0002-0101-0909,http://lattes.cnpq.br/855274516000002,"Av. Rebouças, 117",Sorocaba,04131-139,fac_xyzq_01,,approved,not_applicable
stu_ppgcc_02,Patricia Melo Esteves,Patricia,Melo,Esteves,11941475850,patricia.esteves_102@aluno.xyzq.edu.br,(11) 98446-2958,RA20241002,RA20241002,comp_ies_xyzq,alumni,graduated,f,1995-08-14,2024-03-01,Lúcia Helena Esteves,black,False,Belo Horizonte,MG,base.br,bachelor,grad,0000-0002-0102-0918,http://lattes.cnpq.br/119414758500002,"Rua Domingos de Morais, 134",Belo Horizonte,04162-158,fac_xyzq_02,,approved,not_applicable
stu_ppgcc_03,Bruno Nogueira Linhares,Bruno,Nogueira,Linhares,63685562185,bruno.linhares_103@aluno.xyzq.edu.br,(11) 98469-2987,RA20241003,RA20241003,comp_ies_xyzq,alumni,graduated,m,1996-08-14,2024-03-01,Sandra do Carmo Linhares,yellow,False,Curitiba,PR,base.br,bachelor,grad,0000-0002-0103-0927,http://lattes.cnpq.br/636855621850002,"Av. Angélica, 151",Curitiba,04193-177,fac_xyzq_03,,approved,not_applicable
stu_ppgcc_04,Leticia Rodrigues Meneses,Leticia,Rodrigues,Meneses,75166845463,leticia.meneses_104@aluno.xyzq.edu.br,(11) 98492-3016,RA20241004,RA20241004,comp_ies_xyzq,alumni,graduated,f,1997-08-14,2024-03-01,Maria de Lourdes Meneses,indigenous,False,Rio de Janeiro,RJ,base.br,bachelor,grad,0000-0002-0104-0936,http://lattes.cnpq.br/751668454630002,"Rua Teodoro Sampaio, 168",Rio de Janeiro,04224-196,fac_xyzq_04,fac_xyzq_08,approved,not_applicable
stu_ppgcc_05,Daniel Souza Penna,Daniel,Souza,Penna,38969318224,daniel.penna_105@aluno.xyzq.edu.br,(11) 98515-3045,RA20241005,RA20241005,comp_ies_xyzq,alumni,graduated,m,1998-08-14,2024-03-01,Sônia Cristina Penna,white,False,Porto Alegre,RS,base.br,bachelor,grad,0000-0002-0105-0945,http://lattes.cnpq.br/389693182240002,"Av. Faria Lima, 185",Porto Alegre,04255-215,fac_xyzq_05,,approved,not_applicable
stu_ppgcc_06,Adriana Cavalcanti Rolim,Adriana,Cavalcanti,Rolim,75205614102,adriana.rolim_106@aluno.xyzq.edu.br,(11) 98538-3074,RA20241006,RA20241006,comp_ies_xyzq,alumni,graduated,f,1999-08-14,2024-03-01,Lúcia Célia Rolim,white,False,Salvador,BA,base.br,bachelor,grad,0000-0002-0106-0954,http://lattes.cnpq.br/752056141020002,"Rua Bela Cintra, 202",Salvador,04286-234,fac_xyzq_06,,approved,not_applicable
stu_ppgcc_07,Diego Gomes Valadao,Diego,Gomes,Valadao,63818126640,diego.valadao_107@aluno.xyzq.edu.br,(11) 98561-3103,RA20241007,RA20241007,comp_ies_xyzq,alumni,graduated,m,1993-08-14,2024-03-01,Sandra Beatriz Valadao,brown,False,Recife,PE,base.br,bachelor,grad,0000-0002-0107-0963,http://lattes.cnpq.br/638181266400002,"Av. Brigadeiro Luís Antônio, 219",Recife,04317-253,fac_xyzq_07,,approved,not_applicable
stu_ppgcc_08,Ana Mendes Barcellos,Ana,Mendes,Barcellos,21438073925,ana.barcellos_108@aluno.xyzq.edu.br,(11) 98584-3132,RA20241008,RA20241008,comp_ies_xyzq,alumni,graduated,f,1994-08-14,2024-03-01,Maria das Graças Barcellos,brown,False,São Paulo,SP,base.br,bachelor,grad,0000-0002-0108-0972,http://lattes.cnpq.br/214380739250002,"Av. Lineu Prestes, 236",São Paulo,04348-272,fac_xyzq_08,fac_xyzq_12,approved,not_applicable
stu_ppgcc_09,Gustavo Oliveira Delgado,Gustavo,Oliveira,Delgado,65461437206,gustavo.delgado_109@aluno.xyzq.edu.br,(11) 98607-3161,RA20241009,RA20241009,comp_ies_xyzq,regular,enrolled,m,1995-08-14,2024-03-01,Sônia Aparecida Delgado,black,False,Campinas,SP,base.br,bachelor,grad,0000-0002-0109-0981,http://lattes.cnpq.br/654614372060002,"Av. Paulista, 253",Campinas,04379-291,fac_xyzq_09,,approved,not_applicable
stu_ppgcc_10,Bruna Santana Leite,Bruna,Santana,Leite,44916184530,bruna.leite_110@aluno.xyzq.edu.br,(11) 98630-3190,RA20241010,RA20241010,comp_ies_xyzq,regular,enrolled,f,1996-08-14,2024-03-01,Lúcia Helena Leite,yellow,False,Ribeirão Preto,SP,base.br,bachelor,grad,0000-0002-0110-0990,http://lattes.cnpq.br/449161845300002,"Rua da Consolação, 270",Ribeirão Preto,04410-310,fac_xyzq_10,,approved,not_applicable
