id,name,student_id/id,research_line_id/id,research_line,summary,methodology,attachment_pdf,opinion_category,state
wp_stu_ppgcc_01,Plano de Investigação e Desenvolvimento (PPGCC): André Ferreira Bittencourt,stu_ppgcc_01,line_cc_ia_01,Linha line_cc_ia_01,Resumo da proposta de tese/dissertação do discente André Ferreira Bittencourt no programa PPGCC.,Metodologia experimental com ensaios laboratoriais e simulação computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBVbml2ZXJzaWRhZGUgWFlaUQ==,approved,homologated
wp_stu_ppgcc_02,Plano de Investigação e Desenvolvimento (PPGCC): Patricia Melo Esteves,stu_ppgcc_02,line_cc_ia_02,Linha line_cc_ia_02,Resumo da proposta de tese/dissertação do discente Patricia Melo Esteves no programa PPGCC.,Metodologia experimental com ensaios laboratoriais e simulação computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBVbml2ZXJzaWRhZGUgWFlaUQ==,approved,homologated
wp_stu_ppgcc_03,Plano de Investigação e Desenvolvimento (PPGCC): Bruno Nogueira Linhares,stu_ppgcc_03,line_cc_es_01,Linha line_cc_es_01,Resumo da proposta de tese/dissertação do discente Bruno Nogueira Linhares no programa PPGCC.,Metodologia experimental com ensaios laboratoriais e simulação computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBVbml2ZXJzaWRhZGUgWFlaUQ==,approved,homologated
wp_stu_ppgcc_04,Plano de Investigação e Desenvolvimento (PPGCC): Leticia Rodrigues Meneses,stu_ppgcc_04,line_cc_es_02,Linha line_cc_es_02,Resumo da proposta de tese/dissertação do discente Leticia Rodrigues Meneses no programa PPGCC.,Metodologia experimental com ensaios laboratoriais e simulação computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBVbml2ZXJzaWRhZGUgWFlaUQ==,approved,homologated
wp_stu_ppgcc_05,Plano de Investigação e Desenvolvimento (PPGCC): Daniel Souza Penna,stu_ppgcc_05,line_cc_ia_01,Linha line_cc_ia_01,Resumo da proposta de tese/dissertação do discente Daniel Souza Penna no programa PPGCC.,Metodologia experimental com ensaios laboratoriais e simulação computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBVbml2ZXJzaWRhZGUgWFlaUQ==,approved,homologated
wp_stu_ppgcc_06,Plano de Investigação e Desenvolvimento (PPGCC): Adriana Cavalcanti Rolim,stu_ppgcc_06,line_cc_ia_02,Linha line_cc_ia_02,Resumo da proposta de tese/dissertação do discente Adriana Cavalcanti Rolim no programa PPGCC.,Metodologia experimental com ensaios laboratoriais e simulação computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBVbml2ZXJzaWRhZGUgWFlaUQ==,approved,homologated
wp_stu_ppgcc_07,Plano de Investigação e Desenvolvimento (PPGCC): Diego Gomes Valadao,stu_ppgcc_07,line_cc_es_01,Linha line_cc_es_01,Resumo da proposta de tese/dissertação do discente Diego Gomes Valadao no programa PPGCC.,Metodologia experimental com ensaios laboratoriais e simulação computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBVbml2ZXJzaWRhZGUgWFlaUQ==,approved,homologated
wp_stu_ppgcc_08,Plano de Investigação e Desenvolvimento (PPGCC): Ana Mendes Barcellos,stu_ppgcc_08,line_cc_es_02,Linha line_cc_es_02,Resumo da proposta de tese/dissertação do discente Ana Mendes Barcellos no programa PPGCC.,Metodologia experimental com ensaios laboratoriais e simulação computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBVbml2ZXJzaWRhZGUgWFlaUQ==,approved,homologated
wp_stu_ppgcc_09,Plano de Investigação e Desenvolvimento (PPGCC): Gustavo Oliveira Delgado,stu_ppgcc_09,line_cc_ia_01,Linha line_cc_ia_01,Resumo da proposta de tese/dissertação do discente Gustavo Oliveira Delgado no programa PPGCC.,Metodologia experimental com ensaios laboratoriais e simulação computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBVbml2ZXJzaWRhZGUgWFlaUQ==,approved,homologated
wp_stu_ppgcc_10,Plano de Investigação e Desenvolvimento (PPGCC): Bruna Santana Leite,stu_ppgcc_10,line_cc_ia_02,Linha line_cc_ia_02,Resumo da proposta de tese/dissertação do discente Bruna Santana Leite no programa PPGCC.,Metodologia experimental com ensaios laboratoriais e simulação computacional.,JVBERi0xLjQgTW9jayBQbGFubyBkZSBUcmFiYWxobyBVbml2ZXJzaWRhZGUgWFlaUQ==,approved,homologated
