id,student_id/id,work_plan_id/id,title,doc_type,stage,status,defense_date,repository_url
thesis_stu_ppgcc_01,stu_ppgcc_01,wp_stu_ppgcc_01,Investigação Avançada e Inovação Tecnológica em PPGCC - Discente Bittencourt,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20241001
thesis_stu_ppgcc_02,stu_ppgcc_02,wp_stu_ppgcc_02,Investigação Avançada e Inovação Tecnológica em PPGCC - Discente Esteves,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20241002
thesis_stu_ppgcc_03,stu_ppgcc_03,wp_stu_ppgcc_03,Investigação Avançada e Inovação Tecnológica em PPGCC - Discente Linhares,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20241003
thesis_stu_ppgcc_04,stu_ppgcc_04,wp_stu_ppgcc_04,Investigação Avançada e Inovação Tecnológica em PPGCC - Discente Meneses,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20241004
thesis_stu_ppgcc_05,stu_ppgcc_05,wp_stu_ppgcc_05,Investigação Avançada e Inovação Tecnológica em PPGCC - Discente Penna,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20241005
thesis_stu_ppgcc_06,stu_ppgcc_06,wp_stu_ppgcc_06,Investigação Avançada e Inovação Tecnológica em PPGCC - Discente Rolim,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20241006
thesis_stu_ppgcc_07,stu_ppgcc_07,wp_stu_ppgcc_07,Investigação Avançada e Inovação Tecnológica em PPGCC - Discente Valadao,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20241007
thesis_stu_ppgcc_08,stu_ppgcc_08,wp_stu_ppgcc_08,Investigação Avançada e Inovação Tecnológica em PPGCC - Discente Barcellos,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20241008
thesis_stu_ppgfa_01,stu_ppgfa_01,wp_stu_ppgfa_01,Investigação Avançada e Inovação Tecnológica em PPGFA - Discente Simas,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20242001
thesis_stu_ppgfa_02,stu_ppgfa_02,wp_stu_ppgfa_02,Investigação Avançada e Inovação Tecnológica em PPGFA - Discente Zamboni,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20242002
thesis_stu_ppgfa_03,stu_ppgfa_03,wp_stu_ppgfa_03,Investigação Avançada e Inovação Tecnológica em PPGFA - Discente Carneiro,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20242003
thesis_stu_ppgfa_04,stu_ppgfa_04,wp_stu_ppgfa_04,Investigação Avançada e Inovação Tecnológica em PPGFA - Discente Galvao,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20242004
thesis_stu_ppgfa_05,stu_ppgfa_05,wp_stu_ppgfa_05,Investigação Avançada e Inovação Tecnológica em PPGFA - Discente Malcher,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20242005
thesis_stu_ppgfa_06,stu_ppgfa_06,wp_stu_ppgfa_06,Investigação Avançada e Inovação Tecnológica em PPGFA - Discente Negrao,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20242006
thesis_stu_ppgfa_07,stu_ppgfa_07,wp_stu_ppgfa_07,Investigação Avançada e Inovação Tecnológica em PPGFA - Discente Portela,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20242007
thesis_stu_ppgfa_08,stu_ppgfa_08,wp_stu_ppgfa_08,Investigação Avançada e Inovação Tecnológica em PPGFA - Discente Seixas,dissertation,defense,homologated,2026-03-31 14:00:00,http://repositorio.xyzq.edu.br/ra20242008
